Book_Name,Author,Release_Date,Narrator,No_of_Ratings,Language,Score,Price(INR),Audio_Book_Length
On the Double,Tanushree Podder,17-03-20,Tavish Bhattacharya,39,English,4.5,0.0,07:10:00
Lessons,Ian McEwan,13-09-22,Simon McBurney,1,English,5.0,1093.0,17:34:00
SpecOps,Craig Alanson,07-03-17,R.C. Bray,12,English,4.5,1340.0,15:50:00
Malibu Rising,Taylor Jenkins Reid,27-05-21,Julia Whelan,153,English,4.0,888.0,11:06:00
Kashi,Vineet Bajpai,11-12-18,Neel Chaudhuri,89,English,4.5,284.0,09:47:00
Evil Under the Sun,Agatha Christie,03-07-12,David Suchet,7,English,4.5,1238.0,06:25:00
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,08-02-18,Jot Davies,295,English,4.5,721.0,16:41:00
Ulysses,James Joyce,23-07-08,Jim Norton,6,English,5.0,1338.0,03:16:00
How I Braved Anu Aunty and Co-Founded a Million Dollar Company,Varun Agarwal,01-01-17,Avinash Kumar Singh,32,English,4.5,195.0,05:39:00
Eye of the Needle,Ken Follett,23-08-18,Samuel West,35,English,4.5,323.0,11:01:00
The Unbearable Lightness of Being,Milan Kundera,07-09-12,Richmond Hoxie,55,English,4.5,569.0,09:36:00
New Spring,Robert Jordan,28-12-03,Kate Reading,22,English,4.5,181.0,12:38:00
Kurukshetra (Hindi Edition),Dinkar,24-05-19,Neeraj Yadav,46,Hindi,5.0,159.0,02:40:00
Ruskin Bond: The Essential Collection for Young Readers,Ruskin Bond,01-02-17,Manisha Sethi,11,English,5.0,227.0,06:38:00
The Leo Tolstoy BBC Radio Drama Collection,Leo Tolstoy,06-01-22,Simon Russell Beale,3,English,5.0,1093.0,18:35:00
Red Rising,Pierce Brown,28-01-14,Tim Gerard Reynolds,92,English,4.5,1172.0,16:12:00
Plato's Republic,Plato,01-04-16,Ray Childs,6,English,4.5,836.0,11:46:00
On Meditation,Sri M.,13-04-20,Rajiv Dadia,79,English,4.5,879.0,05:41:00
The Sicilian,Mario Puzo,17-09-15,Larry Brandenburg,13,English,4.5,721.0,10:49:00
How to Stop Time,Matt Haig,06-07-17,Mark Meadows,17,English,4.0,683.0,10:37:00
Everyday Ayurveda,Bhaswati Bhattacharya,19-11-19,Monaz Ranina,33,English,4.5,879.0,10:19:00
Sahir Ludhiyanvi,Sahir Ludhiyanvi,19-09-19,Manish Singhal,19,Hindi,5.0,0.0,02:33:00
"Thiruvarangan Ula, Part 1",Sri Venugopalan,06-09-21,Bombay kannan,8,tamil,5.0,118.0,07:59:00
Reasons to Stay Alive,Matt Haig,05-03-15,Matt Haig,144,English,4.0,683.0,04:26:00
Gaban [Embezzlement],Munshi Premchand,21-02-22,Sameer Goswami,20,Hindi,4.5,0.0,11:36:00
Thrawn (Star Wars),Timothy Zahn,11-04-17,Marc Thompson,21,English,5.0,1256.0,16:56:00
Draupadi (Hindi Edition),Pratibha Rai,09-09-20,Rupa Bhimani,20,Hindi,4.5,1003.0,15:40:00
Why We Love the Way We Do,Preeti Shenoy,27-01-17,Bhavnisha Parmar,10,English,4.0,244.0,06:19:00
Bleak House,Charles Dickens,17-04-18,Miriam Margolyes,2,English,3.0,1518.0,19:12:00
War and Peace,Leo Tolstoy,04-11-21,Thandiwe Newton,3,English,5.0,1518.0,12:14:00
The Curious Incident of the Dog in the Night-Time (Unabridged),Mark Haddon,26-09-05,Ben Tibber,59,English,4.0,820.0,05:59:00
The Zahir,Paulo Coelho,16-01-09,Derek Jacobi,12,English,4.5,322.0,05:16:00
"Best Kept Secret: Clifton Chronicles, Book 3",Jeffrey Archer,14-03-13,Alex Jennings,43,English,4.5,323.0,11:15:00
Oleander Girl,Chitra Banerjee Divakaruni,24-02-21,Nandita Dubey,4,English,4.0,879.0,12:06:00
Democrats and Dissenters,Ramachandra Guha,13-03-19,Pradeep Kumar,48,English,4.5,1131.0,12:07:00
Cryptonomicon,Neal Stephenson,08-08-20,William Dufris,2,English,5.0,1338.0,18:44:00
21 Kahaniyan Manto [21 Manto Stories],Saadat Hasan Manto,19-07-21,Vikas Pareek,29,Hindi,4.5,0.0,06:44:00
O. Henry: Complete Short Stories Collection,O. Henry,02-05-12,Bob Thomley,5,English,5.0,305.0,14:40:00
Mostly Harmless,Douglas Adams,14-12-12,Martin Freeman,49,English,4.5,323.0,06:32:00
Kashi,Vineet Bajpai,14-04-20,Sandeep Bhatt,28,Hindi,4.5,246.0,10:44:00
Oliver Twist,Charles Dickens,25-01-06,Martin Jarvis,9,English,4.5,797.0,16:17:00
"The Essential Rumi, New Expanded Edition",Jalal ad-Din Muhammad Rumi,03-07-18,Robertson Dean,23,English,4.5,820.0,09:24:00
The Brothers Karamazov,Fyodor Dostoevsky,08-10-09,Frederick Davidson,2,English,4.0,1054.0,10:52:00
No Longer Human,Osamu Dazai,20-12-16,David Shih,22,English,4.5,586.0,04:13:00
The Trial,Franz Kafka,26-09-19,Kobna Holdbrook-Smith,14,English,4.0,888.0,08:07:00
My Man Jeeves,P. G. Wodehouse,21-02-06,Simon Prebble,6,English,4.0,585.0,05:05:00
The Bastard of Istanbul,Elif Shafak,06-06-19,Alix Dunmore,172,English,4.5,820.0,11:04:00
Fallen Leaves,Will Durant,09-12-14,Grover Gardner,9,English,4.0,702.0,05:18:00
101 Panchatantra Stories,Om Books International,03-04-18,Vivek Madan,19,English,3.5,410.0,02:26:00
"Dont Lose Out, Work Out!",Rujuta Diwekar,01-01-17,Farah Bala,71,English,4.5,284.0,07:54:00
"Only Time Will Tell: Clifton Chronicles, Book 1",Jeffrey Archer,11-05-11,Roger Allam,8,English,4.5,323.0,07:45:00
A Fine Balance,Rohinton Mistry,19-06-18,Vikas Adam,120,English,4.5,1673.0,01:49:00
World War Z,Max Brooks,13-11-12,Christopher Ragland,78,English,4.5,721.0,13:56:00
Never Let Me Go,Kazuo Ishiguro,03-07-14,Kerry Fox,61,English,4.5,531.0,09:26:00
The Haunted,Bentley Little,03-04-12,Dan Butler,7,English,4.5,702.0,11:49:00
The Museum of Innocence,Orhan Pamuk,15-08-13,John Lee,7,English,4.5,683.0,20:33:00
Chandrakanta (Hindi Edition),Devki Nandan Khatri,19-07-21,Manish Singhal,27,Hindi,4.5,0.0,12:41:00
The Duchess Deal,Tessa Dare,22-02-18,Mary Jane Wells,17,English,4.5,456.0,07:56:00
The Story of a New Name,Elena Ferrante,21-04-15,Hillary Huber,9,English,5.0,937.0,19:04:00
Istanbul,Orhan Pamuk,15-08-13,John Lee,4,English,4.5,569.0,09:46:00
Valkyrie,Craig Alanson,04-02-20,R.C. Bray,9,English,5.0,1507.0,19:45:00
"Thiruvarangan Ula, Part 4 (Tamil Edition)",Sri Venugopalan,18-07-22,Bombay Kannan,4,tamil,5.0,118.0,06:55:00
A Breath of Snow and Ashes: International Edition,Diana Gabaldon,12-10-20,Geraldine James,9,English,5.0,1407.0,09:48:00
Bombay Balchão,Jane Borges,13-05-21,Meher Acharia Dar,31,English,4.0,668.0,07:42:00
Three Men in a Boat,Jerome K. Jerome,24-01-08,Ian Carmichael,9,English,4.5,512.0,05:53:00
Something Fresh,P. G. Wodehouse,04-12-06,Frederick Davidson,23,English,4.5,702.0,07:15:00
Layla,Colleen Hoover,08-12-20,Brian Pallino,20,English,4.0,844.0,08:10:00
The Brothers Karamazov [Naxos AudioBooks Edition],Constance Garnett - translator,30-12-12,Constantine Gregory,44,English,4.5,1970.0,13:04:00
Veronika Decides to Die,Paulo Coelho,31-03-09,Fran Tunno,34,English,4.5,1238.0,05:30:00
Syahhashiye Aur Anya Kahaniyan [Syllabus and Other Stories],Saadat Hasan Manto,24-12-18,Errol Rodrigues,27,Hindi,4.5,0.0,06:59:00
The Dutch House,Ann Patchett,24-09-19,Tom Hanks,418,English,4.5,721.0,09:53:00
A Room with a View,E. M. Forster,19-07-18,Rebecca Hall,16,English,4.5,668.0,07:32:00
Sadie,Courtney Summers,04-09-18,Rebecca Soler,117,English,4.5,134.0,07:57:00
Sherlock Holmes and the Miskatonic Monstrosities,James Lovegrove,17-12-19,Dennis Kleinman,2,English,4.5,820.0,10:26:00
Edge of Eternity,Ken Follett,16-09-14,John Lee,21,English,5.0,323.0,12:51:00
The Shadow of the Gods,John Gwynne,05-05-21,Colin Mace,11,English,4.5,500.0,18:14:00
The Devil Wears Prada,Lauren Weisberger,16-01-06,Laurel Lefkow,11,English,4.0,748.0,13:26:00
Station Eleven,Emily St. John Mandel,10-09-14,Jack Hawkins,29,English,4.5,721.0,10:09:00
The Girl Who Played With Fire,Stieg Larsson,08-07-09,Saul Reichlin,86,English,4.5,949.0,20:49:00
The Sherlock Holmes Collection,Arthur Conan Doyle,11-07-19,Stephen Scalon,13,English,4.5,99.0,19:44:00
Reminiscences of a Stock Operator,Edwin Lefevre,02-06-21,John Roberts,2,English,5.0,1852.0,12:12:00
Connect the Dots,Rashmi Bansal,20-01-17,Manisha Sethi,19,English,4.5,372.0,10:02:00
"The Sea of Monsters: Percy Jackson, Book 2",Rick Riordan,15-01-10,Jesse Bernstein,147,English,4.5,820.0,07:55:00
Lovecraft Country,Matt Ruff,07-02-19,Kevin Kenerly,4,English,5.0,323.0,12:13:00
Animal Farm,George Orwell,21-05-21,Benjamin May,43,English,4.5,32.0,03:25:00
The Under Dog and Other Stories,Agatha Christie,14-08-12,David Suchet,10,English,4.5,1238.0,05:54:00
Cursed (Hindi Edition),Anusree Neogi,11-02-22,Mahjabeen Ali,83,Hindi,3.5,0.0,09:47:00
The Witching Hour,Anne Rice,13-10-15,Kate Reading,3,English,4.5,2261.0,02:01:00
She Who Became the Sun,Shelley Parker-Chan,22-07-21,Natalie Naudus,18,English,4.0,323.0,14:36:00
Fahrenheit 451,Ray Bradbury,21-10-14,Tim Robbins,126,English,4.5,668.0,05:01:00
The Devil and the Dark Water,Stuart Turton,01-10-20,Julian Rhind-Tutt,25,English,4.0,645.0,15:11:00
Aab-e-Gum (Urdu Edition),Mushtaq Ahmed Yusufi,03-02-21,Fawad Khan,5,urdu,4.5,938.0,15:14:00
Star Wars: Darth Plagueis,James Luceno,10-01-12,Daniel Davis,22,English,4.5,1131.0,14:45:00
The Power,Naomi Alderman,27-10-16,Adjoa Andoh,4,English,4.0,721.0,12:04:00
One Day in December,Josie Silver,23-08-18,Eleanor Tomlinson,53,English,4.0,820.0,10:27:00
Musashi,Eiji Yoshikawa,28-08-18,Brian Nishii,43,English,5.0,1758.0,05:24:00
He Who Fights with Monsters 7,Shirtaloon,13-09-22,Heath Miller,4,English,5.0,2010.0,18:39:00
The Lord Of The Rings: The Return of the King (Dramatised),J. R. R. Tolkien,06-09-07,Ian Holm,30,English,5.0,615.0,03:10:00
First Among Equals,Jeffrey Archer,14-08-14,John Lee,5,English,4.0,323.0,13:26:00
Addicted to You,Krista Ritchie,13-01-15,Erin Mallon,3,English,4.5,836.0,12:03:00
Crazy Rich Asians,Kevin Kwan,05-12-13,Lynn Chen,24,English,4.0,721.0,13:53:00
My Name Is Red,Orhan Pamuk,06-09-12,John Lee,24,English,4.5,1138.0,20:23:00
One Last Time,Corinne Michaels,26-02-18,Andi Arndt,49,English,4.5,668.0,09:04:00
Dirk Gently's Holistic Detective Agency,Douglas Adams,14-10-21,Stephen Mangan,6,English,4.0,323.0,07:58:00
The Priory of the Orange Tree,Samantha Shannon,26-02-19,Liyah Summers,34,English,4.0,1138.0,01:52:00
The Devil and Miss Prym,Paulo Coelho,07-07-06,Linda Emond,14,English,4.5,1069.0,04:30:00
Rage of Angels,Sidney Sheldon,16-12-99,Lorelei King,52,English,4.5,836.0,13:18:00
Aawara Masiha,Vishnu Prabhakar,08-04-19,Abhishek Sharma,7,Hindi,4.5,284.0,22:47:00
A Gentleman in Moscow,Amor Towles,18-10-18,Nicholas Guy Smith,380,English,5.0,873.0,17:52:00
Forward,Veronica Roth,08-10-19,Evan Rachel Wood,6,English,3.5,636.0,08:24:00
The Lowland,Jhumpa Lahiri,14-10-13,Sunil Malhotra,55,English,4.5,836.0,13:03:00
Behind Her Eyes,Sarah Pinborough,26-01-17,Anna Bentinck,17,English,4.5,491.0,11:55:00
Gaban [Embezzlement],Premchand,14-10-21,Abhishek Sharma,44,Hindi,5.0,0.0,12:25:00
The House of Silk: A Sherlock Holmes Novel,Anthony Horowitz,14-09-18,Derek Jacobi,16,English,4.5,500.0,10:23:00
Persuasion,Jane Austen,31-12-06,Juliet Stevenson,26,English,4.5,836.0,08:43:00
Be Careful What You Wish For,Jeffrey Archer,13-03-14,Alex Jennings,49,English,4.5,323.0,11:39:00
Atonement,Ian McEwan,13-11-14,Carole Boyd,7,English,4.5,820.0,12:26:00
Piranesi,Susanna Clarke,15-09-20,Chiwetel Ejiofor,99,English,4.5,569.0,06:58:00
Waking Gods,Sylvain Neuvel,06-04-17,Andy Secombe,49,English,4.5,820.0,09:08:00
The Chekhov Collection of Short Stories,Anton Chekhov,11-06-20,Richard Armitage,13,English,4.5,569.0,06:50:00
Bridgerton: It's in His Kiss,Julia Quinn,24-06-21,Rosalyn Landor,6,English,4.5,621.0,11:11:00
War and Peace,Leo Tolstoy,06-04-17,Paterson Joseph,12,English,4.5,820.0,09:38:00
Anand Math (Hindi Edition),Bankim Chandra Chatterjee,21-02-22,Sameer Goswami,6,Hindi,4.5,0.0,05:22:00
The Last Hours: Chain of Gold,Cassandra Clare,03-03-20,Finty Williams,17,English,5.0,914.0,21:20:00
A Bit of Fry & Laurie,Stephen Fry,15-04-21,Hugh Laurie,2,English,5.0,888.0,11:34:00
Zorba the Greek,Nikos Kazantzakis,27-07-11,George Guidall,15,English,5.0,938.0,12:35:00
An Ember in the Ashes,Sabaa Tahir,04-06-15,Aysha Kala,24,English,4.5,552.0,13:56:00
BBC Radio Shakespeare: A Collection of Eight Comedies,William Shakespeare,20-08-20,Anne-Marie Duff,1,English,3.0,1093.0,16:28:00
Diary of a Void,Emi Yagi,11-08-22,Nancy Wu,3,English,4.0,615.0,04:38:00
The Tattooist of Auschwitz,Heather Morris,20-02-18,Richard Armitage,201,English,4.5,1328.0,07:26:00
The Observer Effect,Nick Jones,15-03-22,Ray Porter,11,English,4.5,1101.0,12:04:00
Naan Krishna Devarayan - Part 1,Ra. Ki. Rangarajan,29-12-20,Bombay Kannan,21,tamil,4.5,118.0,08:36:00
A Fallen Empire Omnibus,Lindsay Buroker,15-08-17,Kate Reading,4,English,5.0,1340.0,03:26:00
Kafka on the Shore,Haruki Murakami,29-10-20,Sean Barrett,301,English,4.5,1093.0,19:08:00
The Martian,Andy Weir,01-01-20,Wil Wheaton,343,English,5.0,1171.0,10:59:00
A Psalm for the Wild-Built,Becky Chambers,13-07-21,Em Grosland,12,English,4.5,74.0,04:08:00
Reaper Man,Terry Pratchett,27-10-22,Sian Clifford,0,English,0.0,1093.0,08:54:00
The Magic Mountain,Thomas Mann,14-05-20,David Rintoul,11,English,5.0,1530.0,13:27:00
No Orchids for Miss Blandish,James Hadley Chase,11-07-11,Jeff Harding,5,English,5.0,569.0,06:40:00
Five Little Pigs,Agatha Christie,03-07-12,Hugh Fraser,19,English,4.5,1238.0,06:40:00
Within a Budding Grove,Marcel Proust,06-07-09,John Rowe,2,English,5.0,987.0,23:02:00
Gai-Jin,James Clavell,15-05-15,John Lee,8,English,4.5,1003.0,02:17:00
The Escape,David Baldacci,20-11-14,Ron McLarty,16,English,5.0,323.0,14:51:00
Avenger,Frederick Forsyth,27-07-10,Eric Conger,11,English,4.5,733.0,10:05:00
Forbidden Desires: The Complete Series,Kendall Ryan,19-11-18,Megan Tusing,4,English,4.0,1003.0,22:25:00
The One Hundred Years of Lenni and Margot,Marianne Cronin,18-02-21,Sheila Reid,4,English,5.0,888.0,10:54:00
Rogues,Neil Gaiman - contributor,17-06-14,Janis Ian,4,English,4.5,1382.0,07:15:00
Don Quixote,John Ormsby - translator,01-06-11,Roy McMillan,31,English,4.5,1338.0,12:05:00
1984 (Hindi Edition),George Orwell,26-10-21,Abhishek Sharma,21,Hindi,4.5,836.0,13:51:00
The Brothers Karamazov,Fyodor Dostoyevsky,05-08-21,Luke Thompson,1,English,5.0,1093.0,19:06:00
The Nonesuch,Georgette Heyer,01-04-21,James Lailey,4,English,5.0,888.0,10:53:00
Anita Gets Bail,Arun Shourie,07-11-18,Zia Ahmed,12,English,5.0,512.0,10:48:00
Bunny,Mona Awad,13-06-19,Sophie Amoss,15,English,3.5,1328.0,11:45:00
Leviathan Falls,James S.A. Corey,30-11-21,Jefferson Mays,16,English,4.5,1289.0,19:40:00
Pratigya [Pledge],Munshi Premchand,26-10-21,Lalit Agarwal,45,Hindi,4.5,668.0,05:41:00
When We Cease to Understand the World,Benjamín Labatut,10-12-21,Adam Barr,17,English,4.5,535.0,05:42:00
Exhalation,Ted Chiang,11-07-19,Ted Chiang,51,English,4.5,323.0,11:22:00
A Time for all Things,Ruskin Bond,18-12-18,Vikrant Chaturvedi,14,English,5.0,484.0,16:33:00
Transcendence,TurtleMe,11-08-20,Travis Baldree,13,English,5.0,1340.0,15:11:00
Iron Prince,Bryce O'Connor,23-03-21,Luke Daniels,6,English,5.0,2010.0,09:55:00
Legal Eagles,Indu Bhan,19-08-20,Kiran Multani,14,English,4.5,879.0,07:26:00
Illuminae,Amie Kaufman,26-07-16,Olivia Taylor Dudley,39,English,4.5,721.0,11:40:00
The Fool Who Thought Too Much,Ishmael Reed,05-11-20,Adam Lazarre-White,69,English,3.5,501.0,01:22:00
The Night Circus,Erin Morgenstern,19-09-11,Jim Dale,111,English,4.0,820.0,13:39:00
The Handmaid's Tale,Margaret Atwood,30-04-19,Elisabeth Moss,239,English,4.5,957.0,11:22:00
Ruckus,L.J. Shen,18-07-17,Christian Rummel,18,English,4.0,836.0,10:43:00
The House in the Cerulean Sea,TJ Klune,08-07-21,Daniel Henning,128,English,4.5,323.0,12:11:00
50 Greatest Short Stories,Terry O'Brien - editor,01-01-17,Fajer Al-Kaisi,9,English,3.5,251.0,22:12:00
Call Me by Your Name,André Aciman,03-10-17,Armie Hammer,60,English,4.5,134.0,07:48:00
The Anthropocene Reviewed,John Green,18-05-21,John Green,152,English,4.5,888.0,10:03:00
Vinaashkaari Pralay,Vineet Bajpai,14-04-20,Sandeep Bhatt,21,Hindi,4.0,233.0,09:16:00
Silappathikaram Revisited,Sharada Balasubramanian,10-04-22,Vinitha Vijayakumar,53,English,4.0,139.0,03:57:00
"The Short, the Long and the Tall",Jeffrey Archer,12-11-20,Anton Lesser,4,English,5.0,323.0,13:24:00
The Hitchhiker's Guide to the Galaxy: The Secondary Phase (Dramatised),Douglas Adams,14-11-08,Peter Jones,4,English,5.0,615.0,03:50:00
Heads Will Roll,Kate McKinnon,02-05-19,Kate McKinnon,86,English,4.5,0.0,04:06:00
The Practicing Stoic,Ward Farnsworth,25-12-18,John Lescault,96,English,4.5,820.0,09:57:00
Beware of Chicken: A Xianxia Cultivation Novel,Casualfarmer,24-05-22,Travis Baldree,2,English,5.0,1675.0,12:35:00
The Merchant of Venice,William Shakespeare,09-05-14,Trevor Peacock,6,English,4.5,468.0,02:16:00
"The Tale of Genji, Volume 1",Murasaki Shikibu,12-11-19,Brian Nishii,3,English,5.0,1758.0,11:35:00
The Angels Weep,Wilbur Smith,11-12-18,Elliot Chapman,0,English,0.0,987.0,20:18:00
Uttarraamcharit,Bhavbhuti,15-06-22,Arujn Dev,2,Hindi,5.0,0.0,04:14:00
The Stranger: International Edition,Albert Camus,29-10-20,Jonathan Davis,41,English,4.5,586.0,04:14:00
Hitopdesh (Hindi Edition),Narayan Pandit,15-06-22,Kumud Soney,1,Hindi,5.0,0.0,03:28:00
Boy Parts,Eliza Clark,23-07-20,Eliza Clark,6,English,4.0,569.0,08:10:00
We Have Always Lived in the Castle,Shirley Jackson,22-03-10,Bernadette Dunne,21,English,4.0,468.0,05:32:00
Purple Hibiscus,Chimamanda Ngozi Adichie,25-04-11,Lisette Lecat,30,English,4.5,938.0,10:53:00
The Color Purple,Alice Walker,25-12-18,Alice Walker,53,English,4.5,668.0,07:58:00
The Promise,Damon Galgut,17-06-21,Peter Noble,24,English,4.0,888.0,10:12:00
City of Girls,Elizabeth Gilbert,04-06-19,Blair Brown,75,English,4.5,1328.0,15:08:00
Sister of My Heart,Chitra Banerjee Divakaruni,30-01-12,Julia Whelan,26,English,4.5,938.0,11:50:00
The Dictionary of Lost Words,Pip Williams,08-04-21,Pippa Bennett-Warner,10,English,4.5,888.0,11:11:00
Wuthering Heights,Emily Brontë,30-11-17,Joanne Froggatt,23,English,4.5,949.0,12:32:00
The Keeper Chronicles: The Complete Trilogy,JA Andrews,08-09-20,Tim Gerard Reynolds,15,English,4.5,2010.0,22:32:00
Middlemarch,George Eliot,17-03-11,Juliet Stevenson,13,English,5.0,1338.0,11:38:00
Find Me,André Aciman,29-10-19,Michael Stuhlbarg,22,English,4.0,759.0,08:21:00
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,07-04-20,Bahni Turpin,21,English,4.0,820.0,13:49:00
Calling Sehmat,Harinder Sikka,25-06-19,Derek Denzil,43,English,4.5,703.0,05:32:00
Gora [Blonde],Ravindranath Tagore,15-06-22,Nitin Sharma,5,Hindi,5.0,0.0,19:15:00
Sherlock Holmes and the Beast of the Stapletons,James Lovegrove,09-03-21,Dennis Kleinman,24,English,4.0,820.0,09:09:00
The Illuminated,Anindita Ghose,27-10-21,Swasti Shree Sharma,10,English,4.0,1519.0,10:25:00
The Count of Monte Cristo,Alexandre Dumas,04-08-11,Bill Homewood,28,English,5.0,1338.0,04:41:00
Lokpriya Shayar Aur Unki Shayari - Ghalib [Popular Poets and Their Poetry - Ghalib],Prakash Pandit,28-04-20,Ali Mohtashim Raza,2,Hindi,3.0,0.0,04:08:00
Vayam Raksham (Hindi Edition),Acharya Chatursen,14-10-21,Neeraj Yadav,15,Hindi,5.0,0.0,00:27:00
Never Lie,Freida McFadden,08-11-22,Leslie Howard,0,English,0.0,1641.0,07:22:00
He Who Fights with Monsters 3,Shirtaloon,07-09-21,Heath Miller,10,English,5.0,2010.0,00:39:00
"South of the Border, West of the Sun",Haruki Murakami,11-03-21,Eric Loren,18,English,4.5,888.0,06:33:00
The Mirror and the Light,Hilary Mantel,05-03-20,Ben Miles,13,English,5.0,1095.0,14:11:00
It's All in the Planets,Preeti Shenoy,22-12-17,Jasleen Bhalla,45,English,4.5,237.0,08:23:00
Losing My Virginity & Other Dumb Ideas,Madhuri Banerjee,14-10-20,Monaz Ranina,6,English,4.0,1005.0,07:05:00
The Dispatcher,John Scalzi,04-10-16,Zachary Quinto,47,English,4.0,266.0,02:18:00
This Is How You Lose the Time War,Amal El-Mohtar,16-07-19,Cynthia Farrell,29,English,4.5,645.0,04:16:00
In Five Years,Rebecca Serle,10-03-20,Megan Hilty,22,English,4.0,759.0,06:44:00
The Big Four,Agatha Christie,25-08-06,Hugh Fraser,9,English,4.5,322.0,05:33:00
The Wedding Date Disaster,Avery Flynn,01-09-20,Kelsey Navarro,12,English,3.5,820.0,08:36:00
The Last Queen,Chitra Banerjee Divakaruni,18-08-21,Nimisha Sirohi,89,English,4.5,1575.0,13:14:00
Sindbad Ki Saat Yatraein [The Seven Voyages of Sinbad the Sailor],Richard Burton,20-05-22,Vipin Singh,7,Hindi,4.0,0.0,02:08:00
Kamayani (Hindi Edition),Jaishankar Prasad,14-10-21,Kafeel Jafri,4,Hindi,5.0,0.0,03:53:00
Warrior of the Light,Paulo Coelho,16-02-16,Greg Wagland,10,English,4.5,844.0,02:16:00
Cilka's Journey,Heather Morris,01-10-19,Louise Brealey,24,English,4.5,1328.0,10:51:00
The Inheritance of Loss,Kiran Desai,07-05-07,Tania Rodrigues,21,English,4.0,852.0,13:32:00
The Mill on the Floss,George Eliot,05-05-09,Eileen Atkins,4,English,5.0,797.0,19:02:00
The Rosie Effect,Graeme Simsion,25-09-14,Dan O’Grady,21,English,4.5,683.0,09:09:00
Isn’t it Obvious,Eliyahu M. Goldratt,13-02-18,Kaleo Griffith,27,English,5.0,703.0,04:58:00
India's Legal System,Fali S. Nariman,13-12-18,Sumit Kaul,24,English,4.0,452.0,05:05:00
An Echo of Things to Come,James Islington,22-08-17,Michael Kramer,21,English,5.0,1340.0,02:28:00
The Storytelling Animal,Jonathan Gottschall,24-09-12,Kris Koscheski,9,English,3.5,703.0,05:32:00
Samudra,Milind Bokil,07-02-14,Shashank Shende,40,English,4.0,281.0,02:16:00
Hyperion,Dan Simmons,22-12-08,Marc Vietor,60,English,4.5,837.0,20:44:00
Karna,Kevin Missal,01-12-21,Manish Dongardive,164,English,4.0,836.0,12:24:00
"Star Wars: The Thrawn Trilogy, Book 3: The Last Command",Timothy Zahn,26-06-12,Marc Thompson,9,English,4.5,1206.0,15:47:00
Ringa Ringa Roses,Neil D'Silva,29-03-21,Rakesh Sharma,11,English,4.0,0.0,04:31:00
From Plato to Post-modernism: Understanding the Essence of Literature and the Role of the Author,Louis Markos,08-07-13,Louis Markos,5,English,5.0,1171.0,12:14:00
These Precious Days,Ann Patchett,23-11-21,Ann Patchett,8,English,5.0,1025.0,11:13:00
Invisible Man,Ralph Ellison,21-12-10,Joe Morton,3,English,5.0,1206.0,18:36:00
The Bhagavad Gita,Jack Hawley,19-01-12,Jack Hawley,6,English,4.5,468.0,05:36:00
Dead Silence,S.A. Barnes,08-02-22,Lauren Ezzo,3,English,3.5,181.0,12:50:00
Sense and Sensibility,Jane Austen,14-08-18,Rosamund Pike,98,English,4.5,836.0,11:25:00
My Best Friend's Exorcism,Grady Hendrix,17-05-16,Emily Woo Zeller,24,English,4.0,820.0,10:11:00
The Life and Death of Sambhaji (Part 2),Medha Bhaskaran,01-02-22,Vasundhra Bose,4,English,5.0,879.0,08:57:00
Dune: The Butlerian Jihad,Kevin J Anderson,25-11-21,Scott Brick,4,English,4.5,1096.0,23:58:00
Zen and the Art of Motorcycle Maintenance (Dramatised),Robert M. Pirsig,01-07-12,James Purefoy,97,English,4.5,615.0,01:40:00
Sherlock Holmes and the Three Winter Terrors,James Lovegrove,12-10-21,Dennis Kleinman,47,English,4.5,937.0,10:46:00
Gone with the Wind,Margaret Mitchell,09-12-19,Charlton Griffin,48,English,5.0,1548.0,23:11:00
Hard Sell,Lauren Layne,04-09-18,Samantha Cook,13,English,4.0,773.0,07:08:00
Honeymoon for One,Portia MacIntosh,06-08-19,Karen Cass,6,English,4.0,493.0,09:17:00
Anna Karenina,Leo Tolstoy,20-02-08,David Horovitch,20,English,4.5,835.0,00:00:00
The Grand Sophy,Georgette Heyer,01-04-21,Louise Jameson,7,English,5.0,888.0,13:12:00
Small Things Like These,Claire Keegan,19-10-21,Aidan Kelly,13,English,4.5,493.0,01:57:00
On the Road,Jack Kerouac,16-01-06,Matt Dillon,5,English,4.0,721.0,10:15:00
Everything I Never Told You,Celeste Ng,04-06-15,Cassandra Campbell,28,English,4.0,746.0,10:01:00
The Woman in White,Wilkie Collins,27-08-10,Ian Holm,6,English,5.0,987.0,00:37:00
The Passenger,Cormac McCarthy,25-10-22,Julia Whelan,0,English,0.0,323.0,12:43:00
A Case of Exploding Mangoes,Mohammed Hanif,07-10-08,Paul Bhattacharjee,14,English,4.5,500.0,10:16:00
Frankenstein,Mary Shelley,29-10-13,Dan Stevens,68,English,4.5,836.0,08:35:00
"Thiruvarangan Ula, Part 3 (Tamil Edition)",Sri Venugopalan,07-09-22,Bombay Kannan,0,tamil,0.0,118.0,06:56:00
The Picture of Dorian Gray,Oscar Wilde,26-10-17,Russell Tovey,84,English,4.5,569.0,08:35:00
Zindagi Wo Jo Aap Banaayen [Life Is What You Make It],Preeti Shenoy,22-02-18,Supriya Jambunathan,14,Hindi,4.5,195.0,07:39:00
The Mistake,K. L. Slater,28-11-17,Lucy Price-Lewis,22,English,4.0,569.0,08:26:00
