Book_Name,Author,Release_Date,Narrator,No_of_Ratings,Language,Score,Price(INR),Audio_Book_Length
A Long Petal of the Sea,Isabel Allende,21-01-20,Edoardo Ballerini,48,English,4.5,645.0,09:46:00
Blackadder: The Complete Collected Series,Ben Elton,29-11-19,full cast,5,English,4.0,1093.0,15:03:00
The PCOD Thyroid Book,Rujuta Diwekar,01-01-17,Farah Bala,53,English,4.5,284.0,05:59:00
Jonathan Livingston Seagull: The New Complete Edition,Richard Bach,30-01-18,Marcus Lovett,183,English,4.5,233.0,01:27:00
Raag Darbari,Shrilal Shukla,21-01-19,Sumit Kaul,6,English,4.0,1256.0,16:44:00
Maalgudi Ki Kahaniyan [Stories of Malgudi],R.K. Narayan,01-03-19,Toshi Sinha,27,Hindi,4.5,284.0,10:55:00
Tales from the Café,Toshikazu Kawaguchi,17-09-20,Kevin Shen,27,English,4.5,323.0,05:33:00
Ashoka the Great,Wytze Keuning,13-07-17,Sagar Arya,32,English,4.5,960.0,19:39:00
Arcana,Tristan H. Brown,29-11-22,Christopher Boucher,0,English,0.0,1172.0,09:23:00
Fingerprints of the Gods,Graham Hancock,09-06-16,Graham Hancock,34,English,4.5,873.0,18:31:00
No Middle Name,Lee Child,18-05-17,Kerry Shale,5,English,4.5,752.0,11:19:00
Mexican Gothic,Silvia Moreno-Garcia,10-09-20,Frankie Corzo,62,English,4.0,835.0,10:39:00
Columbus Day,Craig Alanson,13-12-16,R.C. Bray,29,English,4.5,1289.0,16:23:00
BBC Radio Shakespeare: A Collection of Six Tragedies,William Shakespeare,20-08-20,Bill Wallis,0,English,0.0,1093.0,16:26:00
Wuthering Heights,Emily Brontë,22-05-19,Shernaz Patel,170,English,4.0,284.0,13:08:00
Come Sundown,Nora Roberts,30-05-17,Elisabeth Rodgers,2,English,5.0,1055.0,17:17:00
The Jane Austen Collection,Jane Austen,05-11-20,Claire Foy,50,English,4.5,1518.0,00:00:00
Theft of Swords,Michael J. Sullivan,16-03-12,Tim Gerard Reynolds,61,English,5.0,1407.0,22:38:00
Killing Commendatore,Haruki Murakami,09-10-18,Kirby Heyborne,79,English,4.5,957.0,04:27:00
Mohini Theevu [Mohini Island],Kalki,26-08-20,Bombay Kannan,43,tamil,4.5,62.0,02:21:00
Before the Coffee Gets Cold,Toshikazu Kawaguchi,19-09-19,Arina Ii,191,English,4.5,323.0,06:52:00
Us Against You,Fredrik Backman,14-06-18,John Sackville,83,English,4.5,820.0,13:47:00
Alone with You in the Ether,Olivie Blake,29-11-22,Dion Alexander,0,English,0.0,323.0,09:56:00
A Damsel in Distress,P. G. Wodehouse,04-08-17,Jonathan Cecil,31,English,4.5,702.0,07:09:00
Emma,Jane Austen,09-10-08,Jenny Agutter,14,English,4.0,873.0,14:45:00
Benedict Cumberbatch Reads Sherlock Holmes' Rediscovered Railway Mysteries,John Taylor,20-08-15,Benedict Cumberbatch,91,English,4.5,615.0,02:04:00
Sherlock Holmes and the Christmas Demon,James Lovegrove,06-04-21,Dennis Kleinman,53,English,4.5,820.0,08:45:00
The Lincoln Highway,Amor Towles,21-10-21,Edoardo Ballerini,51,English,4.5,1093.0,16:39:00
The Room on the Roof,Ruskin Bond,24-12-18,Paul Thottam,64,English,4.5,452.0,03:48:00
