Book_Name,Author,Release_Date,Narrator,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length
The Atlas Paradox,Olivie Blake,"Release Date:
                                    25-10-22",Alexandra Palting,,Not rated yet,₹323.00,"['Language:', 'English']",Length: 17 hrs and 35 mins
Me Before You,Jojo Moyes,"Release Date:
                                    01-01-12",Jo Hall,5 out of 5 stars,79 ratings,₹778.00,"['Language:', 'English']",Length: 16 hrs and 37 mins
Reminders of Him,Colleen Hoover,"Release Date:
                                    18-01-22",Brittany Pressley,4.5 out of 5 stars,63 ratings,"₹1,008.00","['Language:', 'English']",Length: 10 hrs and 17 mins
The Monk Who Sold His Ferrari,Robin Sharma,"Release Date:
                                    12-06-17",Humphrey Bower,4.5 out of 5 stars,301 ratings,"₹1,063.00","['Language:', 'English']",Length: 6 hrs and 34 mins
The Pillars of the Earth,Ken Follett,"Release Date:
                                    18-10-10",John Lee,5 out of 5 stars,74 ratings,₹323.00,"['Language:', 'English']",Length: 40 hrs and 56 mins
How to Win an Indian Election,Shivam Shankar Singh,"Release Date:
                                    19-11-19",Terry D’Souza,4.5 out of 5 stars,60 ratings,₹879.00,"['Language:', 'English']",Length: 6 hrs and 45 mins
Rendezvous with Rama,Arthur C. Clarke,"Release Date:
                                    10-12-13",Toby Longworth,4.5 out of 5 stars,103 ratings,₹569.00,"['Language:', 'English']",Length: 7 hrs and 21 mins
The Sandman: Act II,Neil Gaiman,"Release Date:
                                    22-09-21",Neil Gaiman,4.5 out of 5 stars,263 ratings,"₹1,003.00","['Language:', 'English']",Length: 13 hrs and 47 mins
The Forty Rules of Love,Elif Shafak,"Release Date:
                                    06-06-19",George Blagden,4.5 out of 5 stars,463 ratings,₹752.00,"['Language:', 'English']",Length: 11 hrs and 55 mins
The God of Small Things,Arundhati Roy,"Release Date:
                                    04-08-22",Siobhan Finneran,5 out of 5 stars,7 ratings,₹615.00,"['Language:', 'English']",Length: 2 hrs and 47 mins
Falling in Love Again,Ruskin Bond,"Release Date:
                                    01-02-17",Manisha Sethi,5 out of 5 stars,6 ratings,₹302.00,"['Language:', 'English']",Length: 5 hrs and 32 mins
Before Your Memory Fades,Toshikazu Kawaguchi,"Release Date:
                                    01-09-22",Kevin Shen,4.5 out of 5 stars,7 ratings,₹323.00,"['Language:', 'English']",Length: 6 hrs and 30 mins
"The Science Fiction Hall of Fame, Vol. 1, 1929-1964",Robert A. Heinlein,"Release Date:
                                    19-12-17",Oliver Wyman,4.5 out of 5 stars,22 ratings,"₹1,054.00","['Language:', 'English']",Length: 28 hrs and 10 mins
"Ponniyin Selvan - Part 6 [The Son of Ponni, Part 6]",Kalki,"Release Date:
                                    03-09-20",Bombay Kannan,5 out of 5 stars,350 ratings,₹118.00,"['Language:', 'tamil']",Length: 13 hrs and 40 mins
"Ponniyin Selvan - Part 3 [The Son of Ponni, Part 3]",Kalki,"Release Date:
                                    03-09-20",Bombay Kannan,5 out of 5 stars,367 ratings,₹118.00,"['Language:', 'tamil']",Length: 12 hrs and 34 mins
Remarkably Bright Creatures,Shelby Van Pelt,"Release Date:
                                    26-05-22",Marin Ireland,5 out of 5 stars,11 ratings,₹911.00,"['Language:', 'English']",Length: 11 hrs and 16 mins
The Girl on the Train,Paula Hawkins,"Release Date:
                                    15-01-15",Louise Brealey,4.5 out of 5 stars,554 ratings,₹820.00,"['Language:', 'English']",Length: 11 hrs and 4 mins
Fire and Blood,George R.R. Martin,"Release Date:
                                    20-11-18",Simon Vance,4.5 out of 5 stars,84 ratings,"₹1,101.00","['Language:', 'English']",Length: 27 hrs and 15 mins
Complete Shakespeare Tales,William Shakespeare,"Release Date:
                                    12-12-18",Josh Verbae,4 out of 5 stars,3 ratings,₹949.00,"['Language:', 'English']",Length: 4 hrs and 27 mins
The Mahabharata,John D. Smith - translator,"Release Date:
                                    25-03-21",Shaheen Khan,5 out of 5 stars,3 ratings,"₹1,093.00","['Language:', 'English']",Length: 44 hrs and 7 mins
The Great Hunt,Robert Jordan,"Release Date:
                                    02-08-22",Rosamund Pike,5 out of 5 stars,8 ratings,₹301.00,"['Language:', 'English']",Length: 28 hrs and 23 mins
"Ponniyin Selvan - Part 2 [The Son of Ponni, Part 2]",Kalki,"Release Date:
                                    03-09-20",Bombay Kannan,5 out of 5 stars,472 ratings,₹118.00,"['Language:', 'tamil']",Length: 14 hrs and 1 min
"The Sandman, Act I (Hindi Edition)",Neil Gaiman,"Release Date:
                                    27-04-22",Tabu,4.5 out of 5 stars,313 ratings,,"['Language:', 'Hindi']",Length: 11 hrs and 3 mins
2 States,Chetan Bhagat,"Release Date:
                                    12-11-18",Siddhanta Pinto,4.5 out of 5 stars,66 ratings,₹568.00,"['Language:', 'English']",Length: 8 hrs and 23 mins
Oh William!,Elizabeth Strout,"Release Date:
                                    21-10-21",Kimberly Farr,4 out of 5 stars,5 ratings,₹888.00,"['Language:', 'English']",Length: 7 hrs
Bittersweet,Susan Cain,"Release Date:
                                    21-04-22",Susan Cain,4.5 out of 5 stars,14 ratings,₹888.00,"['Language:', 'English']",Length: 7 hrs and 35 mins
