Book_Name,Author,Release_Date,Narrator,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length
The Name of the Rose,Umberto Eco,"Release Date:
                                    03-09-13",Sean Barrett,4.5 out of 5 stars,19 ratings,"₹1,139.00","['Language:', 'English']",Length: 21 hrs and 5 mins
Americanah,Chimamanda Ngozi Adichie,"Release Date:
                                    11-04-13",Adjoa Andoh,4.5 out of 5 stars,86 ratings,₹778.00,"['Language:', 'English']",Length: 17 hrs and 28 mins
Tell No One,Harlan Coben,"Release Date:
                                    01-04-22",William Hope,4.5 out of 5 stars,39 ratings,₹721.00,"['Language:', 'English']",Length: 10 hrs and 34 mins
Journey to the Center of the Earth: A Signature Performance by Tim Curry,Jules Verne,"Release Date:
                                    01-03-11",Tim Curry,4.5 out of 5 stars,29 ratings,₹836.00,"['Language:', 'English']",Length: 8 hrs and 20 mins
Japanese Fairy Tales,Yei Theodora Ozaki - translator,"Release Date:
                                    06-02-12",Leslie Bellair,4 out of 5 stars,2 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 32 mins
The Life and Death of Sambhaji (Part 1),Medha Deshmukh Bhaskaran,"Release Date:
                                    16-02-22",Vasundhra Bose,5 out of 5 stars,8 ratings,₹879.00,"['Language:', 'English']",Length: 8 hrs and 50 mins
Roots,Alex Haley,"Release Date:
                                    10-01-12",Avery Brooks,5 out of 5 stars,37 ratings,"₹1,025.00","['Language:', 'English']",Length: 30 hrs and 5 mins
War and Peace,Leo Tolstoy,"Release Date:
                                    21-01-05",Frederick Davidson,4.5 out of 5 stars,22 ratings,"₹1,406.00","['Language:', 'English']",Length: 61 hrs and 6 mins
Best of Friends,Kamila Shamsie,"Release Date:
                                    27-09-22",Tania Rodrigues,5 out of 5 stars,1 rating,"₹1,025.00","['Language:', 'English']",Length: 10 hrs and 8 mins
Mansfield Park,Jane Austen,"Release Date:
                                    10-07-08",Frances Barber,4 out of 5 stars,14 ratings,₹873.00,"['Language:', 'English']",Length: 14 hrs and 45 mins
The Eye of the World,Robert Jordan,"Release Date:
                                    16-11-21",Rosamund Pike,5 out of 5 stars,58 ratings,₹335.00,"['Language:', 'English']",Length: 32 hrs and 55 mins
Warbreaker,Brandon Sanderson,"Release Date:
                                    08-12-17",Alyssa Bresnahan,4.5 out of 5 stars,117 ratings,₹928.00,"['Language:', 'English']",Length: 24 hrs and 56 mins
The Gathering Storm,Robert Jordan,"Release Date:
                                    27-10-09",Michael Kramer,5 out of 5 stars,20 ratings,₹335.00,"['Language:', 'English']",Length: 32 hrs and 58 mins
Treasure Island,Robert Louis Stevenson,"Release Date:
                                    17-08-17",Philip Glenister,4.5 out of 5 stars,31 ratings,₹759.00,"['Language:', 'English']",Length: 6 hrs and 23 mins
Harappa,Vineet Bajpai,"Release Date:
                                    13-11-18",Neel Chaudhuri,4.5 out of 5 stars,101 ratings,₹259.00,"['Language:', 'English']",Length: 7 hrs and 54 mins
The Forest of Enchantments,Chitra Banerjee Divakaruni,"Release Date:
                                    17-09-19",Suchitra Pillai,4.5 out of 5 stars,425 ratings,₹483.00,"['Language:', 'English']",Length: 12 hrs and 45 mins
Malice,John Gwynne,"Release Date:
                                    14-05-15",Damian Lynch,5 out of 5 stars,10 ratings,₹987.00,"['Language:', 'English']",Length: 23 hrs and 56 mins
Pudumaipithan Short Stories,Pudhumaipithan,"Release Date:
                                    20-10-08",K. Charles,5 out of 5 stars,16 ratings,₹468.00,"['Language:', 'tamil']",Length: 4 hrs and 13 mins
Sophie's World,Jostein Gaarder,"Release Date:
                                    28-03-07",Simon Vance,4.5 out of 5 stars,13 ratings,₹221.00,"['Language:', 'English']",Length: 16 hrs and 53 mins
Winnie-the-Pooh,A. A. Milne,"Release Date:
                                    28-12-03",Peter Dennis,5 out of 5 stars,27 ratings,₹468.00,"['Language:', 'English']",Length: 2 hrs and 46 mins
Winter's Heart,Robert Jordan,"Release Date:
                                    01-03-11",Kate Reading,4.5 out of 5 stars,29 ratings,₹301.00,"['Language:', 'English']",Length: 24 hrs and 12 mins
The Light of All That Falls,James Islington,"Release Date:
                                    10-12-19",Michael Kramer,5 out of 5 stars,19 ratings,"₹1,507.00","['Language:', 'English']",Length: 30 hrs and 39 mins
Circe,Madeline Miller,"Release Date:
                                    19-04-18",Perdita Weeks,4.5 out of 5 stars,405 ratings,₹721.00,"['Language:', 'English']",Length: 12 hrs and 8 mins
"Red, White & Royal Blue",Casey McQuiston,"Release Date:
                                    17-02-22",Ramon de Ocampo,4.5 out of 5 stars,29 ratings,₹323.00,"['Language:', 'English']",Length: 12 hrs and 15 mins
Adventures of Huckleberry Finn: A Signature Performance by Elijah Wood,Mark Twain,"Release Date:
                                    09-11-10",Elijah Wood,4.5 out of 5 stars,25 ratings,₹836.00,"['Language:', 'English']",Length: 10 hrs and 10 mins
Sidney Sheldon's Mistress of the Game,Sidney Sheldon,"Release Date:
                                    04-08-09",Karen Ziemba,4 out of 5 stars,11 ratings,"₹1,575.00","['Language:', 'English']",Length: 11 hrs and 56 mins
Kane and Abel,Jeffrey Archer,"Release Date:
                                    20-10-09",Jason Culp,5 out of 5 stars,285 ratings,₹323.00,"['Language:', 'English']",Length: 19 hrs and 27 mins
Better Off Dead,Lee Child,"Release Date:
                                    26-10-21",Jeff Harding,4 out of 5 stars,27 ratings,"₹1,093.00","['Language:', 'English']",Length: 9 hrs and 3 mins
Kitne Pakistan?,Kamleshwar,"Release Date:
                                    18-09-19",Uplaksh Kochhar,4.5 out of 5 stars,46 ratings,₹284.00,"['Language:', 'Hindi']",Length: 16 hrs and 57 mins
Chakallas (Hindi Edition),Amritlal Nagar,"Release Date:
                                    11-08-20",Sachin Gole,4 out of 5 stars,18 ratings,₹668.00,"['Language:', 'Hindi']",Length: 9 hrs and 15 mins
Orwell Collection,George Orwell,"Release Date:
                                    12-01-21",Stephen Fry,4.5 out of 5 stars,188 ratings,"₹1,138.00","['Language:', 'English']",Length: 16 hrs and 18 mins
Meri Priya Kahaniyan [My Favorite Stories],Amrita Pritam,"Release Date:
                                    13-09-19",Malvika Nirajan,4.5 out of 5 stars,68 ratings,,"['Language:', 'Hindi']",Length: 4 hrs and 53 mins
Troy,Stephen Fry,"Release Date:
                                    29-10-20",Stephen Fry,5 out of 5 stars,204 ratings,₹888.00,"['Language:', 'English']",Length: 10 hrs and 59 mins
The Invisible Life of Addie LaRue,V. E. Schwab,"Release Date:
                                    16-10-20",Julia Whelan,4.5 out of 5 stars,251 ratings,₹914.00,"['Language:', 'English']",Length: 17 hrs and 10 mins
Elantris,Brandon Sanderson,"Release Date:
                                    01-07-12",Jack Garrett,4.5 out of 5 stars,50 ratings,₹932.00,"['Language:', 'English']",Length: 28 hrs and 42 mins
House of Earth and Blood,Sarah J. Maas,"Release Date:
                                    03-03-20",Elizabeth Evans,4.5 out of 5 stars,113 ratings,₹873.00,"['Language:', 'English']",Length: 27 hrs and 50 mins
The Golden Enclaves,Naomi Novik,"Release Date:
                                    27-09-22",Anisha Dadia,4.5 out of 5 stars,8 ratings,₹888.00,"['Language:', 'English']",Length: 14 hrs and 49 mins
Jaya: A Retelling of the Mahabharata,Devdutt Pattanaik,"Release Date:
                                    31-07-20",Sumit Kaul,4.5 out of 5 stars,149 ratings,₹879.00,"['Language:', 'English']",Length: 8 hrs and 43 mins
At the Eleventh Hour,Pandit Rajmani Tigunait Ph.D.,"Release Date:
                                    05-04-13",D. C. Rao Ph.D.,5 out of 5 stars,51 ratings,₹444.00,"['Language:', 'English']",Length: 17 hrs and 41 mins
7 Secrets of Vishnu,Devdutt Pattanaik,"Release Date:
                                    24-01-17",Sagar Arya,4.5 out of 5 stars,132 ratings,₹378.00,"['Language:', 'English']",Length: 4 hrs and 5 mins
The Idiot,Elif Batuman,"Release Date:
                                    01-06-17",Elif Batuman,4 out of 5 stars,5 ratings,₹721.00,"['Language:', 'English']",Length: 13 hrs and 40 mins
Kadal Pura - Part 1,Sandilyan,"Release Date:
                                    29-12-20",Bombay Kannan,4.5 out of 5 stars,89 ratings,₹118.00,"['Language:', 'tamil']",Length: 10 hrs and 11 mins
The Dragon Reborn,Robert Jordan,"Release Date:
                                    28-12-03",Kate Reading,4.5 out of 5 stars,71 ratings,₹301.00,"['Language:', 'English']",Length: 24 hrs and 48 mins
The Great Hunt,Robert Jordan,"Release Date:
                                    28-12-03",Kate Reading,4.5 out of 5 stars,79 ratings,₹301.00,"['Language:', 'English']",Length: 26 hrs and 34 mins
Harappa,Vineet Bajpai,"Release Date:
                                    14-04-20",Sandeep Bhatt,4.5 out of 5 stars,30 ratings,₹193.00,"['Language:', 'Hindi']",Length: 9 hrs and 38 mins
Kadal Pura - Part 3,Sandilyan,"Release Date:
                                    29-12-20",Bombay Kannan,5 out of 5 stars,83 ratings,₹118.00,"['Language:', 'tamil']",Length: 19 hrs and 3 mins
The Living Mountain,Amitav Ghosh,"Release Date:
                                    12-05-22",Pallavi Bharti,4.5 out of 5 stars,118 ratings,₹900.00,"['Language:', 'English']",Length: 36 mins
Jeeves & Wooster: The Collected Radio Dramas,P. G. Wodehouse,"Release Date:
                                    16-05-19",full cast,5 out of 5 stars,43 ratings,₹957.00,"['Language:', 'English']",Length: 17 hrs and 56 mins
Nothing Ventured,Jeffrey Archer,"Release Date:
                                    05-09-19",George Blagden,4.5 out of 5 stars,266 ratings,₹323.00,"['Language:', 'English']",Length: 9 hrs and 17 mins
"Parthiban Kanavu - Part 1 [Parthiban's Dream, Part 1]",Kalki,"Release Date:
                                    26-08-20",Bombay Kannan,5 out of 5 stars,62 ratings,₹48.00,"['Language:', 'tamil']",Length: 1 hr and 48 mins
"Parthiban Kanavu - Part 2 [Parthiban's Dream, Part 2]",Kalki,"Release Date:
                                    26-08-20",Bombay Kannan,4.5 out of 5 stars,44 ratings,₹76.00,"['Language:', 'tamil']",Length: 3 hrs and 53 mins
More of Poirot's Finest Cases,Agatha Christie,"Release Date:
                                    02-11-17",full cast,5 out of 5 stars,218 ratings,"₹1,093.00","['Language:', 'English']",Length: 13 hrs and 27 mins
"The Mahabharata, Volume 1",Bibek Debroy - translator,"Release Date:
                                    30-07-19",Gaurav Marwa,4 out of 5 stars,35 ratings,"₹1,382.00","['Language:', 'English']",Length: 19 hrs and 57 mins
The P.G. Wodehouse Collection,P. G. Wodehouse,"Release Date:
                                    27-01-14",B. J. Harrison,5 out of 5 stars,33 ratings,₹422.00,"['Language:', 'English']",Length: 15 hrs and 42 mins
The Night Tiger,Yangsze Choo,"Release Date:
                                    12-02-19",Yangsze Choo,4.5 out of 5 stars,137 ratings,₹759.00,"['Language:', 'English']",Length: 14 hrs and 8 mins
Siddhartha,Hermann Hesse,"Release Date:
                                    16-03-10",Harish Bhimani,4.5 out of 5 stars,125 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 32 mins
The Charles Dickens Collection: 10 Novels,Charles Dickens,"Release Date:
                                    26-03-22",Mil Nicholson,5 out of 5 stars,1 rating,"₹2,277.00","['Language:', 'English']",Length: 264 hrs and 28 mins
The Wind-Up Bird Chronicle,Haruki Murakami,"Release Date:
                                    29-10-20",Rupert Degas,4.5 out of 5 stars,36 ratings,"₹1,093.00","['Language:', 'English']",Length: 26 hrs and 7 mins
A Tale of Two Cities,Charles Dickens,"Release Date:
                                    06-02-18",Simon Callow,4.5 out of 5 stars,18 ratings,₹721.00,"['Language:', 'English']",Length: 15 hrs
7 Secrets of Shiva,Devdutt Pattanaik,"Release Date:
                                    24-01-17",Sagar Arya,4.5 out of 5 stars,492 ratings,₹414.00,"['Language:', 'English']",Length: 4 hrs and 4 mins
"The Extraordinary Adventures of Arsene Lupin, Gentleman Burglar [Classic Tales Edition]",Maurice Leblanc,"Release Date:
                                    25-08-15",B.J. Harrison,4.5 out of 5 stars,458 ratings,₹398.00,"['Language:', 'English']",Length: 6 hrs and 12 mins
The Nightingale,Kristin Hannah,"Release Date:
                                    07-05-15",Polly Stone,5 out of 5 stars,156 ratings,₹323.00,"['Language:', 'English']",Length: 17 hrs and 19 mins
A Feast for Crows,George R.R. Martin,"Release Date:
                                    03-11-15",Roy Dotrice,4.5 out of 5 stars,35 ratings,"₹1,025.00","['Language:', 'English']",Length: 33 hrs and 50 mins
Beach Read,Emily Henry,"Release Date:
                                    18-05-20",Julia Whelan,4 out of 5 stars,135 ratings,₹888.00,"['Language:', 'English']",Length: 10 hrs and 13 mins
Anxious People,Fredrik Backman,"Release Date:
                                    20-08-20",Marin Ireland,4.5 out of 5 stars,"1,563 ratings",₹888.00,"['Language:', 'English']",Length: 9 hrs and 52 mins
Wolf Hall,Hilary Mantel,"Release Date:
                                    16-10-09",Simon Slater,4.5 out of 5 stars,22 ratings,₹857.00,"['Language:', 'English']",Length: 24 hrs and 15 mins
Conversations with Friends,Sally Rooney,"Release Date:
                                    01-06-22",Aoife McMahon,4 out of 5 stars,6 ratings,₹873.00,"['Language:', 'English']",Length: 9 hrs
The Help,Kathryn Stockett,"Release Date:
                                    05-08-21",Jenna Lamia,5 out of 5 stars,5 ratings,₹888.00,"['Language:', 'English']",Length: 18 hrs and 5 mins
Seriously...I'm Kidding,Ellen DeGeneres,"Release Date:
                                    04-10-11",Ellen DeGeneres,4 out of 5 stars,331 ratings,₹500.00,"['Language:', 'English']",Length: 3 hrs and 7 mins
Devlok,Devdutt Pattanaik,"Release Date:
                                    25-06-19",Sumit Kaul,4.5 out of 5 stars,28 ratings,₹703.00,"['Language:', 'English']",Length: 6 hrs and 38 mins
The Kaiju Preservation Society,John Scalzi,"Release Date:
                                    15-03-22",Wil Wheaton,5 out of 5 stars,7 ratings,"₹1,003.00","['Language:', 'English']",Length: 8 hrs and 2 mins
"Sivakamiyin Sabatham, Part 1 [Sivagami's Vow, Part 1]",Kalki,"Release Date:
                                    17-08-21",Sri Srinivasa,4.5 out of 5 stars,26 ratings,₹118.00,"['Language:', 'tamil']",Length: 7 hrs and 53 mins
Ignited Minds,A. P. J. Kalam,"Release Date:
                                    13-12-18",Pradeep Kumar,5 out of 5 stars,61 ratings,₹452.00,"['Language:', 'English']",Length: 3 hrs and 45 mins
Poirot Investigates,Agatha Christie,"Release Date:
                                    03-07-12",David Suchet,4.5 out of 5 stars,22 ratings,"₹1,238.00","['Language:', 'English']",Length: 6 hrs and 54 mins
Vaishali Ki Nagarvadhu [City of Vaishali],Acharya Chatursen,"Release Date:
                                    10-06-20",Ashish Bhandari,4.5 out of 5 stars,105 ratings,,"['Language:', 'Hindi']",Length: 23 hrs and 53 mins
Impact Winter,Travis Beacham,"Release Date:
                                    17-02-22",full cast,4.5 out of 5 stars,175 ratings,₹836.00,"['Language:', 'English']",Length: 4 hrs and 59 mins
Pachinko,Min Jin Lee,"Release Date:
                                    21-02-19",Allison Hiroto,4.5 out of 5 stars,210 ratings,₹914.00,"['Language:', 'English']",Length: 18 hrs and 14 mins
A Little Life,Hanya Yanagihara,"Release Date:
                                    29-10-15",Oliver Wyman,4.5 out of 5 stars,110 ratings,₹323.00,"['Language:', 'English']",Length: 32 hrs and 51 mins
Everybody Loves a Good Drought,P. Sainath,"Release Date:
                                    19-11-19",Gaurav Marwa,4.5 out of 5 stars,31 ratings,"₹1,005.00","['Language:', 'English']",Length: 14 hrs and 36 mins
"Madly, Deeply",Alan Rickman,"Release Date:
                                    04-10-22",Steven Crossley,,Not rated yet,₹949.00,"['Language:', 'English']",Length: 19 hrs and 21 mins
Kankal [Eyes],Jaishankar Prasad,"Release Date:
                                    04-04-20",Sanyam Sharma,4.5 out of 5 stars,18 ratings,,"['Language:', 'Hindi']",Length: 7 hrs and 56 mins
India,Shashi Tharoor,"Release Date:
                                    30-07-19",Bhavin Joshi,3.5 out of 5 stars,11 ratings,₹879.00,"['Language:', 'English']",Length: 18 hrs and 59 mins
Mahabharat Katha [Mahabharata Story],Amritlal Nagar,"Release Date:
                                    14-10-21",Mala Mangla,4.5 out of 5 stars,36 ratings,,"['Language:', 'Hindi']",Length: 10 hrs and 41 mins
1Q84,Haruki Murakami,"Release Date:
                                    27-10-11",Allison Hiroto,4.5 out of 5 stars,124 ratings,"₹1,138.00","['Language:', 'English']",Length: 46 hrs and 45 mins
Aavarana,Sandeep Balakrishna - translator,"Release Date:
                                    01-01-17",Deepti Gupta,5 out of 5 stars,135 ratings,₹422.00,"['Language:', 'English']",Length: 14 hrs and 20 mins
The Ultimate Jules Verne Collection of 6 of His Greatest Works,Jules Verne,"Release Date:
                                    01-06-21",Adriel Brandt,5 out of 5 stars,3 ratings,"₹1,360.00","['Language:', 'English']",Length: 53 hrs and 4 mins
Towers of Midnight,Robert Jordan,"Release Date:
                                    02-11-10",Michael Kramer,5 out of 5 stars,28 ratings,₹335.00,"['Language:', 'English']",Length: 38 hrs and 23 mins
Five Point Someone,Chetan Bhagat,"Release Date:
                                    12-11-18",Gavin Methalaka,4.5 out of 5 stars,75 ratings,₹568.00,"['Language:', 'English']",Length: 7 hrs and 11 mins
The Hard Way,Lee Child,"Release Date:
                                    28-02-11",Jeff Harding,4.5 out of 5 stars,34 ratings,₹957.00,"['Language:', 'English']",Length: 11 hrs and 50 mins
As a Man Thinketh,James Allen,"Release Date:
                                    29-12-13",Brian Holsopple,4.5 out of 5 stars,201 ratings,₹132.00,"['Language:', 'English']",Length: 55 mins
Under the Whispering Door,TJ Klune,"Release Date:
                                    28-10-21",Kirt Graves,4.5 out of 5 stars,34 ratings,₹323.00,"['Language:', 'English']",Length: 14 hrs and 54 mins
The Book of Rumi,Rumi,"Release Date:
                                    01-11-18",Keith Szarabajka,4.5 out of 5 stars,54 ratings,₹398.00,"['Language:', 'English']",Length: 4 hrs and 50 mins
Satyajit Ray Ki Kahaniyan [Stories of Satyajit Ray],Satyajit Rai,"Release Date:
                                    24-05-19",Hemant Saini,4.5 out of 5 stars,66 ratings,,"['Language:', 'Hindi']",Length: 8 hrs and 12 mins
Nirmala (Hindi Edition),Munshi Premchand,"Release Date:
                                    26-02-20",Sameer Goswami,4.5 out of 5 stars,193 ratings,,"['Language:', 'Hindi']",Length: 5 hrs and 51 mins
The Miracles of the Namiya General Store,Keigo Higashino,"Release Date:
                                    15-11-22",Brian Nishii,,Not rated yet,₹500.00,"['Language:', 'English']",Length: 9 hrs and 54 mins
Dark Matter,Blake Crouch,"Release Date:
                                    11-08-16",Jon Lindstrom,4.5 out of 5 stars,633 ratings,₹323.00,"['Language:', 'English']",Length: 10 hrs and 8 mins
Meditations,Marcus Aurelius,"Release Date:
                                    07-01-11",Duncan Steen,4 out of 5 stars,109 ratings,₹668.00,"['Language:', 'English']",Length: 5 hrs and 9 mins
Dracula [Audible Edition],Bram Stoker,"Release Date:
                                    20-02-12",Alan Cumming,4.5 out of 5 stars,86 ratings,"₹1,003.00","['Language:', 'English']",Length: 15 hrs and 27 mins
RSS: A View to the Inside,Walter Andersen,"Release Date:
                                    19-11-19",Sumit Kaul,4.5 out of 5 stars,45 ratings,₹879.00,"['Language:', 'English']",Length: 12 hrs and 42 mins
A Wanted Man,Lee Child,"Release Date:
                                    30-08-12",Jeff Harding,4.5 out of 5 stars,19 ratings,₹957.00,"['Language:', 'English']",Length: 11 hrs and 47 mins
The Trees,Percival Everett,"Release Date:
                                    15-03-22",Bill Andrew Quinn,4.5 out of 5 stars,3 ratings,₹586.00,"['Language:', 'English']",Length: 7 hrs and 43 mins
Asura (Hindi Edition),Anand Neelakantan,"Release Date:
                                    22-03-19",Nitin Sharma,4 out of 5 stars,63 ratings,₹284.00,"['Language:', 'Hindi']",Length: 21 hrs and 6 mins
The Wealth of Nations,Adam Smith,"Release Date:
                                    11-01-11",Gildart Jackson,4 out of 5 stars,9 ratings,"₹1,524.00","['Language:', 'English']",Length: 36 hrs and 43 mins
You and Me on Vacation,Emily Henry,"Release Date:
                                    11-05-21",Julia Whelan,4 out of 5 stars,80 ratings,₹888.00,"['Language:', 'English']",Length: 10 hrs and 45 mins
Mother of Learning Arc 3,nobody103,"Release Date:
                                    06-09-22",Jack Voraces,,Not rated yet,"₹2,010.00","['Language:', 'English']",Length: 27 hrs and 12 mins
Such a Fun Age,Kiley Reid,"Release Date:
                                    07-01-20",Nicole Lewis,4 out of 5 stars,107 ratings,₹493.00,"['Language:', 'English']",Length: 9 hrs and 58 mins
Peril in Paris,Rhys Bowen,"Release Date:
                                    08-11-22",Jasmine Blackborow,3 out of 5 stars,1 rating,₹668.00,"['Language:', 'English']",Length: 9 hrs and 26 mins
"Plato, Socrates, and the Dialogues",Michael Sugrue,"Release Date:
                                    08-07-13",Michael Sugrue,4.5 out of 5 stars,11 ratings,"₹1,171.00","['Language:', 'English']",Length: 12 hrs and 2 mins
The Tales of Beedle the Bard,J.K. Rowling,"Release Date:
                                    31-03-20",Warwick Davis,4.5 out of 5 stars,"1,123 ratings",₹652.00,"['Language:', 'English']",Length: 1 hr and 35 mins
Fifty Shades Darker,E. L. James,"Release Date:
                                    08-05-12",Becca Battoe,4.5 out of 5 stars,51 ratings,₹957.00,"['Language:', 'English']",Length: 19 hrs and 49 mins
Strange Weather in Tokyo,Hiromi Kawakami,"Release Date:
                                    25-07-17",Clare Corbett,4 out of 5 stars,24 ratings,₹569.00,"['Language:', 'English']",Length: 5 hrs and 22 mins
India Moving,Chinmay Tumbe,"Release Date:
                                    19-11-19",Mathai Abraham,4.5 out of 5 stars,74 ratings,₹879.00,"['Language:', 'English']",Length: 9 hrs and 14 mins
Olympus: An Indian Retelling of the Greek Myths,Devdutt Pattanaik,"Release Date:
                                    26-03-20",Sumit Kaul,3.5 out of 5 stars,12 ratings,₹879.00,"['Language:', 'English']",Length: 8 hrs and 23 mins
A Long Petal of the Sea,Isabel Allende,"Release Date:
                                    21-01-20",Edoardo Ballerini,4.5 out of 5 stars,48 ratings,₹645.00,"['Language:', 'English']",Length: 9 hrs and 46 mins
Blackadder: The Complete Collected Series,Ben Elton,"Release Date:
                                    29-11-19",full cast,4 out of 5 stars,5 ratings,"₹1,093.00","['Language:', 'English']",Length: 15 hrs and 3 mins
The PCOD Thyroid Book,Rujuta Diwekar,"Release Date:
                                    01-01-17",Farah Bala,4.5 out of 5 stars,53 ratings,₹284.00,"['Language:', 'English']",Length: 5 hrs and 59 mins
Jonathan Livingston Seagull: The New Complete Edition,Richard Bach,"Release Date:
                                    30-01-18",Marcus Lovett,4.5 out of 5 stars,183 ratings,₹233.00,"['Language:', 'English']",Length: 1 hr and 27 mins
Raag Darbari,Shrilal Shukla,"Release Date:
                                    21-01-19",Sumit Kaul,4 out of 5 stars,6 ratings,"₹1,256.00","['Language:', 'English']",Length: 16 hrs and 44 mins
Maalgudi Ki Kahaniyan [Stories of Malgudi],R.K. Narayan,"Release Date:
                                    01-03-19",Toshi Sinha,4.5 out of 5 stars,27 ratings,₹284.00,"['Language:', 'Hindi']",Length: 10 hrs and 55 mins
Tales from the Café,Toshikazu Kawaguchi,"Release Date:
                                    17-09-20",Kevin Shen,4.5 out of 5 stars,27 ratings,₹323.00,"['Language:', 'English']",Length: 5 hrs and 33 mins
Ashoka the Great,Wytze Keuning,"Release Date:
                                    13-07-17",Sagar Arya,4.5 out of 5 stars,32 ratings,₹960.00,"['Language:', 'English']",Length: 43 hrs and 39 mins
Arcana,Tristan H. Brown,"Release Date:
                                    29-11-22",Christopher Boucher,,Not rated yet,"₹1,172.00","['Language:', 'English']",Length: 9 hrs and 23 mins
Fingerprints of the Gods,Graham Hancock,"Release Date:
                                    09-06-16",Graham Hancock,4.5 out of 5 stars,34 ratings,₹873.00,"['Language:', 'English']",Length: 18 hrs and 31 mins
No Middle Name,Lee Child,"Release Date:
                                    18-05-17",Kerry Shale,4.5 out of 5 stars,5 ratings,₹752.00,"['Language:', 'English']",Length: 11 hrs and 19 mins
Mexican Gothic,Silvia Moreno-Garcia,"Release Date:
                                    10-09-20",Frankie Corzo,4 out of 5 stars,62 ratings,₹835.00,"['Language:', 'English']",Length: 10 hrs and 39 mins
Columbus Day,Craig Alanson,"Release Date:
                                    13-12-16",R.C. Bray,4.5 out of 5 stars,29 ratings,"₹1,289.00","['Language:', 'English']",Length: 16 hrs and 23 mins
BBC Radio Shakespeare: A Collection of Six Tragedies,William Shakespeare,"Release Date:
                                    20-08-20",Bill Wallis,,Not rated yet,"₹1,093.00","['Language:', 'English']",Length: 16 hrs and 26 mins
Wuthering Heights,Emily Brontë,"Release Date:
                                    22-05-19",Shernaz Patel,4 out of 5 stars,170 ratings,₹284.00,"['Language:', 'English']",Length: 13 hrs and 8 mins
Come Sundown,Nora Roberts,"Release Date:
                                    30-05-17",Elisabeth Rodgers,5 out of 5 stars,2 ratings,"₹1,055.00","['Language:', 'English']",Length: 17 hrs and 17 mins
The Jane Austen Collection,Jane Austen,"Release Date:
                                    05-11-20",Claire Foy,4.5 out of 5 stars,50 ratings,"₹1,518.00","['Language:', 'English']",Length: 45 hrs
Theft of Swords,Michael J. Sullivan,"Release Date:
                                    16-03-12",Tim Gerard Reynolds,5 out of 5 stars,61 ratings,"₹1,407.00","['Language:', 'English']",Length: 22 hrs and 38 mins
Killing Commendatore,Haruki Murakami,"Release Date:
                                    09-10-18",Kirby Heyborne,4.5 out of 5 stars,79 ratings,₹957.00,"['Language:', 'English']",Length: 28 hrs and 27 mins
Mohini Theevu [Mohini Island],Kalki,"Release Date:
                                    26-08-20",Bombay Kannan,4.5 out of 5 stars,43 ratings,₹62.00,"['Language:', 'tamil']",Length: 2 hrs and 21 mins
Before the Coffee Gets Cold,Toshikazu Kawaguchi,"Release Date:
                                    19-09-19",Arina Ii,4.5 out of 5 stars,191 ratings,₹323.00,"['Language:', 'English']",Length: 6 hrs and 52 mins
Us Against You,Fredrik Backman,"Release Date:
                                    14-06-18",John Sackville,4.5 out of 5 stars,83 ratings,₹820.00,"['Language:', 'English']",Length: 13 hrs and 47 mins
Alone with You in the Ether,Olivie Blake,"Release Date:
                                    29-11-22",Dion Alexander,,Not rated yet,₹323.00,"['Language:', 'English']",Length: 9 hrs and 56 mins
A Damsel in Distress,P. G. Wodehouse,"Release Date:
                                    04-08-17",Jonathan Cecil,4.5 out of 5 stars,31 ratings,₹702.00,"['Language:', 'English']",Length: 7 hrs and 9 mins
Emma,Jane Austen,"Release Date:
                                    09-10-08",Jenny Agutter,4 out of 5 stars,14 ratings,₹873.00,"['Language:', 'English']",Length: 14 hrs and 45 mins
Benedict Cumberbatch Reads Sherlock Holmes' Rediscovered Railway Mysteries,John Taylor,"Release Date:
                                    20-08-15",Benedict Cumberbatch,4.5 out of 5 stars,91 ratings,₹615.00,"['Language:', 'English']",Length: 2 hrs and 4 mins
Sherlock Holmes and the Christmas Demon,James Lovegrove,"Release Date:
                                    06-04-21",Dennis Kleinman,4.5 out of 5 stars,53 ratings,₹820.00,"['Language:', 'English']",Length: 8 hrs and 45 mins
The Lincoln Highway,Amor Towles,"Release Date:
                                    21-10-21",Edoardo Ballerini,4.5 out of 5 stars,51 ratings,"₹1,093.00","['Language:', 'English']",Length: 16 hrs and 39 mins
The Room on the Roof,Ruskin Bond,"Release Date:
                                    24-12-18",Paul Thottam,4.5 out of 5 stars,64 ratings,₹452.00,"['Language:', 'English']",Length: 3 hrs and 48 mins
Children of Dune,Frank Herbert,"Release Date:
                                    05-02-08",Scott Brick,4.5 out of 5 stars,29 ratings,₹221.00,"['Language:', 'English']",Length: 16 hrs and 51 mins
Darker,E. L. James,"Release Date:
                                    28-11-17",Zachary Webber,4.5 out of 5 stars,34 ratings,₹957.00,"['Language:', 'English']",Length: 18 hrs
An Undelivered Speech: Annihilation of Caste,Dr B.R. Ambedkar,"Release Date:
                                    12-05-21",Siddhartha Valicharla,5 out of 5 stars,82 ratings,₹234.00,"['Language:', 'English']",Length: 4 hrs and 50 mins
